BBC     bii bii sii
BMW     pee emm vee
CD-ROM  tseede romm
CNN     sii enn enn
CIA     sii ai ei
CBS     sii bii ess
WC		vee tsee
YLE		üle
WTO		vee tee oo
IBM		aibii emm
SQL	 	ess kuu ell
FBI		ef bii ai
BICO	piko
UNICEF  uniseff
PRIA    priija
UNIX    ?
BIG     ?
MASU    ?
ETA     ?
EMKE    ?
ERSO    ?
ESMA    ?
ManU    ?
NASA    ?
NATO    ?
OMON    ?
RAM     ?
ROK     ?
TALSE   ?
TASS    ?
TOP     ?
FIS     fiss
AIDS    ?
TALO    ?
EKI             ?
EMOR    ?
ARK             ?
ISIC    ?
ATAK    ?
ITIC    ?
PERH    ?
SAAB    ?
SAPA    ?
SAP             ?
SEBE    ?
UNESCO ?
SmartPOST       ?
ZEN     ?
KAPO ?
PRAXIS ?
AMOLED  ?
UFO     ?
FIE     fiie
JUKOS   ?
EXPO    ?
ACTA    ?
ADAMS   ?
CERN    tsern
EITSA   ?
ERNA    ?
EFA     ?
PÖFF    ?
HÕFF    ?
VEF     ?
JFK     dšei eff kei
WRC     vee err tsee
OLED    ooleed
LED     leed
GEO     ?
MAP     mapp
EMHI    ?
BASF    ?
EST     ?
EKA     ?
IDEA    ?
ERM     ?
VEB     veeb
IPO     ?
BREM    ?
EEK     eek, eeki, krooni
EUR     euro, eurot
IKEA    igeaa
OPEC    ?
WADA    ?
JPMorgan    dšei pii morgan
iPad    aipääd
iPhone  aifõun
iPod    aipod
iOS     aioss
iTunes  aitjuuns
EKA     ?
PRISM   ?
TH      tee haa, torakaal
KATE    kate
WEB     veeb
EKRE    ?
