Buckingham bakinhäm
Elizabeth   eliisabet
Line    lain
Philip  filip
Mahmoud mahmud
Fatah  fataa
Abbas  abass
Mozart  mootsart
Salzburg   saltspurg
Lech    lehh
Kaczynski katšõnski
Thames tems
Gaza    kaasa
Blair   bleir
Tony    tõuni
Mercedes    mertsedes
Times   taims
Online  onlain
New njuu
News    njuus
Estonian    estõunjan
Washington uašington
George   džoodž
Yorgi   jorgi
York    jork    
Al-Qaeda al-kaeeda
Jacques žakk
Justsenko jušenko
Timosenko timošenko
Qaeda   kaeeda
Google  kuugl
Page    peidš
Office  offiss
Dance   tääns
r'n'b   aarändbii
Wordnet uöödnet
Wikileaks vikiliiks
Leaks liiks
Assange assaanž
Julian  tžuljan
Cablegate keiblkeit
Guardian kaardian
The te
Google  guugl
New njuu
Business    bisnes
Reggae  rege
Baltic  booltik   baltik
Service sööviss   serviss
Boeing bõuing
Boulevard   bulevaar
Coq kokk
Estravel esträvel
Estonia estõunja
Exchange    ikstšeindž
Fazer   fatser
Go   kõu
Kline klain
Fujitsu fuutšitsu
Mc  mäk
Oracle  orakl
Price   praiss
Waterhouse uooterhauss
Coopers kuupers
Security    sekjuriti
Tech    tehh
Windows vindous   uindous
Xdream  iks_driim
Welcome uelkom
Touch tatš
Facebook  feissbuuk
Apple äppl
Jobs  tšoops
Gmail keemeil  keemail
Steve stiiv
Bloomberg bluumberg
Ryanair rajaneir
Prime praim
Gingerbread džindžerbreed
Ice aiss
Cream kriim
Sandwich  sänduitš
Galaxy  käläksi
Nike  naik   naiki
Playstation pleisteišn
Kindle  kindl
Xperia  ikspeeria
Charlie tšarli
Echo eko
Juliet džuliet
Yankee  jänki
Mike maik
Note   nõut
Facebook feissbuk
Easyjet iisidžett
Financial   fainäntšal finantšial
Alice   älis
Claude  klood   klaud
France  fraants
Cambridge   keimbridž
Francois    frantsuaa
www veeveevee
http    haatetepee
François    frantsuaa
Tour    tuur
Snowden snõuden
Sky     skai
Skype   skaip
Froome  fruum
Greipel graipel
Hollande    hollaan  hollaand
Garage  garaaž
Xbox    ikspoks
One     uann
Now     nau
Microsoft   mikrosoft  maikrosoft
Note    nõut
Chrome  krõum
Go      kõu
You     juu
Tube    tuub
Youtube juutuub
Touch   tatš
